Id,uid,company_name,company_description,company_industry,company_address,company_website
35,http://www.fccsingapore.com/membership/directory/account/35,AMUNDI SINGAPORE LIMITED,"
Amundi ranks first in Europe 1 in the asset management industry with AUM that stood at USD 1.66...
",ABC,"
                    80 Raffles Place, #23-01 UOB Plaza,
                    SINGAPORE 
                    048624
",http://www.amundi.com.sg
221,http://www.fccsingapore.com/membership/directory/account/221,ANGLISS GOURMET PARTNER SINGAPORE PTE LTD,"
Gourmet Partner Singapore is a member of a unique group of distributors across Asia specialised in...
",ABC,"
                    232 Pandan Loop
                    SINGAPORE 
                    128420
",http://www.angliss.com.sg/home/
1192,http://www.fccsingapore.com/membership/directory/account/1192,ANOTECH ENERGY SINGAPORE PTE LTD,"
ANOTECH Energy part of ALTEN Group was founded in 2006 to provide specialist services for energy...
",ABC,"
                    77 Robinson RoadLevel 34
                    SINGAPORE 
                    068896
",http://www.anotech-energy.com
40,http://www.fccsingapore.com/membership/directory/account/40,ANTALIS ASIA PACIFIC PTE LTD,"
Antalis is the largest European group in the distribution of papers and packaging products. In Asia...
",ABC,"
                    300 Beach Road 
#17-01/03 The Concourse
                    SINGAPORE 
                    199555
",http://www.antalis-asiapacific.com
1283,http://www.fccsingapore.com/membership/directory/account/1283,AON SINGAPORE PTE. LTD.,"
Aon plc (NYSE:AON) is a leading global professional services firm providing a broad range of risk,...
",ABC,"
                    2 Shenton Way 
#26-01 SGX Building
                    SINGAPORE 
                    068804
",http://aon.com/singapore
41,http://www.fccsingapore.com/membership/directory/account/41,APILINX PTE LTD,"
APiLINX is a dynamic mobile consumer health and wellness start-up to empower people in their...
",ABC,"
                    73 Ayer Rajah Crescent, 
#03-11, Singapore
                    SINGAPORE 
                    139952
",http://www.appibuddy.com
1327,http://www.fccsingapore.com/membership/directory/account/1327,APPLE,"
Alice Lopin is Store Leader with Apple in Singapore. 

As a Store Leader she is responsible for...
",ABC,"
                    36 Thomson Heights
                    SINGAPORE 
                    574861
",http://www.apple.com
1486,http://www.fccsingapore.com/membership/directory/account/1486,APPLE,"
Michel Coulomb is Senior Sales Director for Apple South Asia. 

Based out of the regional...
",ABC,"
                    2 Fusionopolis Way
Innovis (Tower A)
                    SINGAPORE 
                    138634
",
960,http://www.fccsingapore.com/membership/directory/account/960,APRIL SINGAPORE PTE LIMITED,"
APRIL Singapore Pte Limited is an international company focusing on health insurance for...
",ABC,"
                    31 Boon Tat Street 
#02-01
                    SINGAPORE 
                    069625
",https://sg.april-international.com/en
42,http://www.fccsingapore.com/membership/directory/account/42,APRIM INTERIOR DESIGN,"
After more than 25 years operating in corporate design, APRIM has become a major player in...
",ABC,"
                    2 Leng Kee Road 
#03-09 Thye Hong Centre
                    SINGAPORE 
                    159086
",http://www.aprim.com.sg
